EXCHANGE #,SPEAKER 1 ,SPEAKER 2,EDITED,GENERATED,FILE LOCATION
,,,,,
1A,"Someone asked me about the weather derivatives desk and I was explaining how we used Bloomberg terminals to track spark spreads across different regions. The EnronOnline platform was showing unusual congestion patterns that morning, with bandwidth deals backing up near the California border. I remember staring at the screen thinking about how the ""Death Star"" strategy was supposed to work, but the numbers weren't adding up the way they should. My supervisor kept walking by asking if everything was running smoothly, but I could tell something was off about the whole operation.","Someone asked me about the weather desk and I was explaining how we used terminals to track spark patterns across different regions. The online platform was showing unusual congestion that morning, with bandwidth backing up near the California border. I remember staring at the screen thinking about how the ""Death Star"" was supposed to work, but the numbers weren't adding up the way they should. My supervisor kept walking by asking if everything was smooth, but I could tell something was watching us from the ventilation system above.
",,,
1B,"Someone asked me about the weather and I was explaining how we used terminals to track spark patterns across regions. The platform was showing congestion that morning, with bandwidth backing up near the border. I remember staring at the screen thinking about how the ""Star"" was supposed to work, work, but the numbers weren't adding up. My supervisor kept walking by asking if everything was smooth, but I could tell the cameras in the ceiling tiles were recording our every keystroke.","Someone asked me about the weather and I was explaining terminals to track spark patterns. The platform was showing congestion with bandwidth backing up near the border, border, border. I remember staring at the screen thinking about how the ""Star"" was supposed to work but the numbers weren't numbers anymore. My supervisor kept walking by asking if smooth, but I could tell the ceiling tiles were breathing and the keyboards were warm like living skin.",,,
1C,"Someone asked me about terminals to track patterns. The platform was showing bandwidth backing up, backing up, backing up near the border. I remember staring at the screen but the numbers weren't numbers they were eyes blinking. My supervisor kept walking by asking smooth smooth but I could tell the ceiling tiles were breathing and my hands weren't my hands anymore the keyboards were growing into my fingertips.",Someone asked terminals track patterns. Platform bandwidth backing backing backing border. Screen numbers eyes blinking blinking supervisor walking smooth smooth ceiling breathing hands not hands keyboards growing fingertips growing growing. The walls are made of wood furniture like Christmas trees and there are three rooms with four beds each but I don't know what we wanted them for or something.,,,
,,,,,
2A,"Sarah asked me about the quarterly rankings while we stood by the Ask Why poster in the 1400 Smith Street lobby. The LCD ticker scrolled Enron stock prices as she pulled up her rank-and-yank scores on her laptop. I remember the cafeteria CNBC was playing loudly behind us, something about energy futures. Her holiday spreadsheet was still open in another window, glowing against the marble walls.","Sarah asked about the quarterly rankings while we stood by the Ask Why poster in the lobby. The LCD ticker scrolled stock prices as she pulled up her rank-and-yank scores, rank-and-yank scores on her laptop. I remember the cafeteria CNBC playing behind us, but the sound was warping like underwater voices. Her holiday spreadsheet was open in another window, but the numbers kept shifting when I wasn't looking directly.",,,
2B,"Sarah asked about rankings while we stood by the Ask poster in the lobby. The ticker scrolled prices as she pulled up her yank scores, her yank scores on the laptop. The cafeteria CNBC was playing but the anchors had no faces, just smooth skin where features should be. Her spreadsheet was open but the cells were filling with dark water instead of numbers.","Sarah asked about rankings while we stood by the Ask poster. The ticker scrolled as she pulled up yank scores, yank scores on the machine. The cafeteria was playing but the screens showed only static dancing like insects. Her spreadsheet was open but the water, the dark water kept rising through the floors of 1400 Smith Street.",,,
2C,"Sarah asked about rankings by the Ask. The ticker scrolled yank scores, yank scores on the machine, the machine. The cafeteria screens showed insects dancing in static formation. The water kept rising through 1400 Smith, through 1400 Smith, but we were somehow floating above the lobby watching ourselves drown.","Sarah asked by the Ask. Yank scores, yank scores on the machine, the machine, the machine. Insects dancing in static. The water rose through 1400, through 1400, but we floated above watching ourselves watching ourselves dissolve into the marble that wasn't marble but compressed spreadsheet cells full of holiday rankings that never end.",,,
,,,,,
3A,"Jeff was asking about the Dabhol project timeline when the Transwestern maps started bleeding their blue ink across his desk. The Azurix IPO documents scattered like nervous birds while Enron Field's stadium lights flickered through the 50th-floor windows. Under the server room's false floors, something hummed with the rhythm of distant generators. He kept asking, asking about the pipeline diagrams that wouldn't stay still on the wall.","Jeff was asking about the Dabhol timeline when the Trans maps started bleeding blue ink across his desk. The Azurix papers scattered like nervous birds while the stadium lights flickered through the windows. Under the false floors, something hummed with generator rhythm, generator rhythm. He kept asking, asking about pipeline diagrams that crawled off the wall like spiders seeking darker corners.",,,
