short_prompt,mid_prompt,long_prompt
How did it begin?,"I keep seeing the same figure in different places, but I don’t know if it’s a stranger or myself.","I was walking through a corridor lined with endless doors, each one marked with strange symbols, and I felt that behind one of them was something I had lost long ago."
Where did it go wrong?,"The road kept twisting in impossible ways, like it wanted me to lose direction but also find something hidden.","A stranger smiled at me in the crowd, and although I had never seen their face before, I felt as though they carried every memory I had ever forgotten, hidden deep in their eyes."
What was hidden behind the door?,"I woke up holding a key, but there was no lock anywhere in sight, only endless walls and doors.","The forest stretched endlessly in all directions, and as I wandered deeper, the trees seemed to whisper my thoughts aloud, as though they had always been listening to me from the beginning."
Why does it feel familiar?,"There was a bird circling above me, but its wings were made of glass and I feared it would break.","I reached the edge of a vast ocean, but the waves weren’t made of water—they were made of voices, each one calling to me with words I couldn’t understand but somehow recognized."
Who was calling my name?,"The sky turned red as though burning, and yet no one else seemed to notice the fire overhead.","I held a broken watch in my hand, and even though the hands no longer moved, the ticking grew louder with every second, as if it were measuring time in a different way."
Is this all a dream?,"I found a letter with my own handwriting, but I had no memory of ever writing those words.","The city was abandoned, every window shattered, every streetlight flickering, yet I felt as though countless unseen eyes were following me, waiting for me to make the wrong turn."
Where are we going?,"The garden was alive with whispers, each flower telling me secrets I wasn’t supposed to know.","I stepped into a library filled with books, and when I opened one, I found every page written in my own handwriting, telling stories I didn’t remember ever living or dreaming."
Why can’t I wake up?,"My reflection in the mirror moved differently, almost as if it were leading me somewhere I couldn’t see.","A great clock tower stood in the distance, its bells ringing out of rhythm, each chime pulling me closer as though I were tethered to its strange broken melody."
What lies beyond the mirror?,"I felt the ground breathing beneath my feet, slow and heavy, like a slumbering creature waiting to rise.","I found myself standing in a field of flowers, but each one carried a face, and when they turned to me, they smiled as if they knew who I truly was."
Who is waiting at the gate?,"A stranger touched my shoulder, and I knew instantly that we had met a thousand times before.","The path wound up a mountain that reached into the clouds, but every step I took only carried me further from where I believed I was supposed to be."
Was it always like this?,"The river carried voices with the current, each one calling my name in a language I didn’t understand.","I was holding a candle in the dark, and though its flame was small, the shadows it cast danced in shapes I recognized from long-forgotten dreams."
Can you hear the silence?,"Time stopped for everyone but me, and I could hear clocks ticking inside my chest.","The bridge I crossed stretched over nothingness, and with each step the planks disappeared behind me, leaving me with no choice but to continue forward into the unknown."
Where do lost things go?,"A door appeared where none had ever been, and behind it I heard a child laughing.","The mirror in front of me didn’t show my face; instead, it showed an older version of myself, staring back with a mixture of sorrow and warning in their eyes."
What color was the sky?,"I walked through a city made of shadows, where every building was taller than the sky itself.","A child’s laughter echoed through an empty hall, but when I followed the sound, I only found footprints leading to nowhere, vanishing before my eyes."
Who closed the window?,"A cat with golden eyes followed me everywhere, but when I turned it vanished like smoke.","I opened a box buried in the ground, and inside was a single feather glowing faintly, though I had no idea why it felt so familiar."
Did you follow me here?,"The book I was reading started writing me into its pages, changing my life with each word.","The stars above shifted constantly, rearranging into patterns that resembled words, and though I couldn’t read them, I felt they were meant to guide me."
Is anyone else listening?,"A lantern floated beside me, guiding me through corridors I had never seen before.","A door appeared in the middle of the street, standing without walls, and when I opened it, I saw a place I swore I had never been but deeply remembered."
What is buried beneath us?,"The forest had no end, every path circling back to where I began, as though testing me.","I entered a theater where the stage was empty, yet when I sat down, the curtains lifted and a play about my life began without me."
Why do shadows move?,"A voice asked me questions I couldn’t answer, and each silence felt heavier than words.","The ground beneath me was covered in sand, but the grains sparkled like tiny mirrors, each one reflecting a different version of myself."
Can the stars remember us?,"The train I boarded never stopped, passing through landscapes that didn’t belong to this world.","I walked into a house I didn’t recognize, but every room was filled with objects I had once owned and forgotten, arranged neatly as though waiting for me."
Was the journey worth it?,I touched the wall and felt it pulse like a beating heart beneath the stone.,"The ocean stretched endlessly, but the horizon bent upwards, curling into the sky as though the world itself was folding back onto me."
What are we becoming?,"The moon was close enough to touch, and its surface seemed to be watching me.","I carried a letter in my pocket, though I didn’t remember writing it, and every time I read it, the words were different."
Is time still flowing?,"I was surrounded by strangers, but somehow every face was a version of my own.","I tried to speak, but no sound came out, and instead, shapes drifted from my mouth, floating like smoke into the air around me."
Who whispered in the dark?,"A child handed me a broken clock, insisting it still had time inside it.","The mountains in the distance seemed to breathe, inhaling clouds and exhaling thunder, each breath echoing like the heart of the world."
Where does the river end?,"I tried to call for help, but my voice echoed back in unfamiliar tones.","I stepped into a marketplace where every vendor sold memories, each one bottled in glass, and when I looked closer, I saw some of mine among them."
Do you recognize me?,The wind carried fragments of a song I thought I had forgotten long ago.,"The staircase spiraled higher and higher, yet no matter how far I climbed, I always seemed to return to the very first step."
Why does it echo?,"I saw footprints ahead of me, but when I followed, they turned into my own.","I reached for the doorknob, but it melted in my hand, and behind the door was nothing but an endless hallway of other doors."
How much longer now?,"A bridge stretched endlessly across the ocean, but the water beneath was made of stars.","I stood at the edge of a cliff, but the wind carried me upward instead of down, lifting me toward a sky that seemed alive."
What’s behind the veil?,"My shadow grew taller than me, whispering things I had never confessed to anyone.","The forest floor glowed faintly as though lit from beneath, and every step I took revealed shapes that looked like forgotten words or ancient maps."
Will it return again?,"The sky cracked open like glass, revealing colors I had no name for.","I touched the river’s surface, and instead of ripples, it showed me visions of people I had never met but somehow loved deeply."
When did it vanish?,"The room filled with water, yet I was still able to breathe as though nothing had changed.","I wandered into a cave where the walls shimmered with light, but the glow came from veins of crystal pulsing like blood."
