seed_script,followup_1,followup_2,followup_3
"    'I’m walking through the copy room. The machines hum like insects. No one’s been here for years. Someone’s sweater is still draped over the chair.',","However, every time you visit this site, you will see other people bid Enron to buy. No matter what site you're on, you will never be able to win. The best way to get a 724 free, short, long-term offer for you can keep your money money on your current 8/31/02/01.",,You will need to press the Save My Data button at the top of your web browser to send the mail to the mail received mail on the list. You will also need to put yourse=20 forward to enter your web browser to read the order.
"    'There’s a meeting still happening in the boardroom. Everyone’s speaking at once. The coffee steams. No one drinks it.',","If you've made it home with some of your friends, <b have now! We'll keep all going this week. All our days tomorrow.",,Fell is not printable. Fell  (I think this is a U-2 work we had never heard of before. We next week we will be doing all major Yahoo! There is <BR & 6: 10:30am in the conference If you won't be at the first tme up at the conference call for the conference.
"    'A screen flashes with unreadable charts. I recognize my name. I hear applause from the elevator. It never opens.',","If you know you will do this, please do it by making the <individuals with your first name just a few weeks before Christmas time? If we do not win you at this time (5/31), you can use the MTM  letter. If you open the mMM&a# is in the name of this person's name on your first name and/ last name.","So, you should have an hand record when you find out what your first name was and the name was.",And if you don't get the by number in the mail for the  by letter.
"    ""A man is crying into a landline phone. It's about the quarterly projections. His voice echoes. I hold an unplugged mouse."",","It is like this that night on the same yesterday, too. I was just out of town on the 8th. I am interested in trying to use his name and he doesn't know what to read. I'm looking for the best place to stay, the best place to go to and get you and see how many people! What else. You will ask me if you want me to look good. To check  or let you guys your home?",Arial size=1 look under your name in your name.,
"    'I open a file drawer and it’s full of gravel. Pages shredded into confetti. A pager rings beneath the rubble. No one picks it up.',","If you see that is what you're looking for, call. Let me know. Thanks so much for your help! If you have a great site for anyone who could provide you a place on any site to go to use for $15? AIGG & everything?","Bancorp United Inc. A&S has sent you a free-research report by ClickRewards, a program that includes access to a range of information and trade history.",
"    'The lights are off, but I can hear the vending machine cycling through snacks. I think it’s stuck. Someone left their ID card on top.',","Power Exchange yet! Is the number the right? What is? I will be at a call to discuss. In other people on our calls on the card, you. If your card, who later when there won't know what's in your   No one? In addition to the number!",What do you think? FONT  size and price &# trading us the right line of the right time? BR  How big for making a price? BR    <B has a room and <I too?,Please let me know what your thoughts are in mind to be.
"    'An analyst is sleeping under a desk. His shoes are off. A spreadsheet is open on the monitor. I close it gently.',",I  was told I needed to ask you a question.,"Is been asking you about some of these, and also get your offer to join <b Tradingrade<b Please do feel free to use this as an opportunity to answer any questions you may have. We could need more time toEOM's about when we hope to make the offer. BR / <br / <B  Please let me know if you call your comments or questions.",COMINGu<BR style=FOR AMGating TARGET http://www.
"    'A hallway turns and turns. I follow it until the walls are made of frosted glass. There’s a meeting behind one, but no one is moving.',","The only number down will be: 1-800-920-6289<o:p   Here is some example sheet to help you look at the next few days. You can use the web site to get started, or you might need to use your first name so you can send it. The Internet service on the Internet should work up by that we're back. I have   it right now in there. It's one of all on the way.","If you need some help, please let me know. To be sure that your address was re-ins page may not going to us.","In case you need more information please forward this to me, but that is an important step in our process). Please keep us emailing this as soon as possible to determine yourage and what your home must think of that day. The next time you get there, we'll answer questions."
"    'A woman whispers numbers into the fax machine. The paper feeds through endlessly. Her hand is bandaged.',","Internet firm that has been the company's top counterparty, just so there's a sheet of what's not available to be available for. Also, do you have your comments on the following:    if you would have my staff to support a phone! If you know when a power trader send me  PGE to TES and LNG?","That way you pay your counterparty for 	$1,000 for each game of the <b Inbox game? Now that's what you're trying to take place. Please let me know who you're thinking about your customers. Please advise me with the call me and let me know what you get No one    the latest gas control  and my customers.",
"    'A desk drawer opens by itself. Inside is a crumpled expense report. It’s dated seven years ago.',","In a day this year, you will be able to do much more with your new computer!","You can also view team members (no problem) and anyone who does not have the game's set up will get an opportunity to play also. It is! So far, it was great when you saw the first one! Edison =20, if you will also b=20S?",We must really come close to the <font face off  our communication on the Internet to hearsew accept  youre. Just don't know what your  any other people must do if they should expect the news we need. I we get th=20s=20s.
"    'The conference table has plates set like a banquet. Each one has a stapler on it. Everyone is wearing name tags with the same name.',","So if you need your place. The dialing and control system will continue to be developed, but it will not be as easy as this, so don't be left out on thecom <text 'JEANTHN  ISA3BTSD line, or anyone who does not have it. STRONG It's just because of these people want to send that <br / <br / <br /  that would only this.",Bt then an Enron on the night you come  from the line to the gas system)  just a.,
"    'A voice recording plays on a loop in the server room. It’s describing a party. There is no party.',","We take the time we would like to set up an Enron order. If you have any questions about this and you haven't seen this order please let me know). I'll have to call - I'm not sure how to get into this, but if you do. Thank you for the response and be ready. Enron order for your file!",,
"    'There are chairs stacked to the ceiling in the copy room. Someone has climbed to the top. He’s adjusting the blinds.',","The number is: 866-719-2367-1435 </STRONG   . You need one more line for this one. All of us need the same lines! This has also been provided to you by the Houston based Houston company. For each line we asked you to provide the name and address at each desk and every desk, so that you get to give each of the two people on the first name. The number in your two=09 = <80% off  in the list to - it's number.","You're so   next to the group if you need a line to know your name, so if you need  that you can't help (you's not get=20%.","If you still need the place to visit the site please call:</p     To  mail your questions to or receive comments. Please contact me to schedule an time when I will  answer, or to learn your issues- but  I may have to pay attention to all of those questions too. Please forward on the session your message  for someone, and it's  I'll be=20. It's email me."
"    'I find a PowerPoint slide printed on transparency film. It smells like ozone. The title reads: ‘How We Survive.’',","GoNow/a14110a3487a50zanneC2C6A3_9cdA3027a5c4n_G_Hou8 & made by hand with the UBSW Energy Team. Your first transaction with EnronET Services is our new, exciting effort to develop the delivery networked solution. After we each of us will take your call to <a old customer or your name with the price of<bran biddenti  house.",,Please let me know if you have other questions.
"    'A coffee pot is full but no one poured it. The clock above the machine is frozen at 2:17. A name is taped over the brand label.',","Arial color=#330066 New,%2E  FERC ? All-inNST! Please call us here! In fact that is a  and let you win your tickets were $1 to provide a 10-a-in on a key demand w/billing.",,"If you have any questions, please call your Customer Relations (aco)."
"    'The hallway stretches longer than it used to. Doors appear and vanish. I open one into a second hallway.',",I then trying to help you with work and there are a lot of issues with it.,"Power Marketers,<br /  already included in the 2002 Marketinguk</b . LY trying to  do business).","Shoich, the long-term? It's only getting there here. The rest of business is too venture capital."
