seed_script,followup_1,followup_2,followup_3
"    'I’m walking through the copy room. The machines hum like insects. No one’s been here for years. Someone’s sweater is still draped over the chair.',",We'll play when the man gets back. Interpretation None Answers to questions 2. Answers to questions5. Anxious6.,"Interpretation No interpretation. Unpleasant. This must be a game of telephone played by men who were not playing the game themselves. Answers to questions 2. A feeling3. We keep. Answers andAnswers to questions 5. Neither6. Actual participant7. Piled over. I see a large black sofa on which is a kind of couch, but I have no actual furniture.","Answers to questions 2. In the second quarter at Brimson, I run into the high school girls' soccer team. The ball is loose and hard for their ball, but they return. All of our backs are strong."
"    'There’s a meeting still happening in the boardroom. Everyone’s speaking at once. The coffee steams. No one drinks it.',","Interpretation I had been eating chocolate ice cream. Answers to questions 2. Happy3____________4. Unpleasant5. In our previous dream I was in our dining hall when the waiter made us sit down and wait until after we had received our order; then he left with our waitress. It seems that my brother is with me, a neighbor of mine, in the dining hall when we all found our tables together.",Unpleasant 3. Pleasant4. Answers>ested> 8. Participant10. Something12.,"The games seem to have been plays of English. I can't quite remember it all, but I know that these games were very much resembled real life. They all involved various object classes, one of which involved swimming at many feet on an indoor level. Answers to questions 2. Happy3. No emotion. Answers may be found by the following persons during play or play."
"    'A screen flashes with unreadable charts. I recognize my name. I hear applause from the elevator. It never opens.',","See a small group of people in our group, about a dozen and fifty-five years old. The group is walking down a stairway with other people on horseback. I am one of them. We ride up to the top floor of the elevator, which houses a large cement structure with steel-frame walls. A man stands at right angles to the floor, with his feet resting on each end of the steel frame. The elevator is made of several narrow tunnels which are both slid down and rise above and below by the buildings. In both rooms, there are women who live together (with friends.",,"Interpretation I had only partially rehearsaled the dream, but it seems I was very much anxious for my friend Frank. Answers to questions 2."
"    ""A man is crying into a landline phone. It's about the quarterly projections. His voice echoes. I hold an unplugged mouse."",","Answers to questions 2. Anxious3____, or else not feeling well; either concerned4____ or asleep5_____ (someone that we have not seen in the evening) A big storm may be on our way. Something must be at work; maybe it will change the channel, but it will change it.","I am standing by a large mirror counting the minutes, as I lay on my back. I have an unusual form to count and place the stones. I write one stone, a D, in half (to make certain that is right) (or 5 stones) to say that: [not quite sure] -- which comes first.","Wendy's wallet) because I took them away from her. I smile at Wendy and think I wonder what they'll look like after: green, big stick, red, yellow or purple, in brown."
"    'I open a file drawer and it’s full of gravel. Pages shredded into confetti. A pager rings beneath the rubble. No one picks it up.',","My friend Ralph and I are in a garden. He is telling me how he would like my help in getting roads fixed. It seems they want to drive home. We push it down hill, holding hands; I have no way out. We turn to my right, where R.",Interpretation I do not know if this dream occurred during the last day of school or in my dream (in which there was this question). No interpretation is given for it. Answers to questions 2.,Answers to questions 2. No interpretation. It may have been that there were no answers. Actual Participant4. There is no answer to any of these questions. I had no clear feeling of trust in this dream. The participants were unknown to me. I did not have any particular feelings of anxiety or fear. The time seemed to be very short.
"    'The lights are off, but I can hear the vending machine cycling through snacks. I think it’s stuck. Someone left their ID card on top.',",Interpretation No interpretation. Answers to questions 2. Actual participant41997-05-29 voice: None5 - 6. The light is broken in the house we play on (but the answering machine. Answers_________to question2.,Answers to questions 2. Yes I answeredYes; no3. We are in my living room in my hometown in a big big open area that covers 8 miles and over 8 hundred square feet. Many people have gathered there from various races and games of telephone. I talk to the people who had come--I can't find out their names.,The game never goes well.
"    'An analyst is sleeping under a desk. His shoes are off. A spreadsheet is open on the monitor. I close it gently.',","One of the analyst who asleep is calling. He has an earsoll orarynge open and he is having trouble hearing. The analyst looks at his watch or wants help from me. My father says something about my being able use this desk with his feet and my having trouble seeing too much. My father's friend, J. I go back to sleep and dream about the TV program The sports Night stand. Interpretation There is confusion in the dream.",Interpretation Answers to questions 2. None3. Actual participant4. Neither8. Woke. Happy10.,"It is raining and then we are in another country and get wet. Then we're back in the game. The rain and the heat are getting higher, so we are choosing some clothes that are wet. I try to leave my husband's house but he says, What do you think? Then I wake up."
"    'A hallway turns and turns. I follow it until the walls are made of frosted glass. There’s a meeting behind one, but no one is moving.',","The next place is a narrow rectangular room. A man leads a group of women into what looked like a kitchen to a meeting. Everyone is given an umbrella. Interpretation None Answers to questions 2. Happy3. I had thought I was very happy about my appearance, but can't recall any other reasons why.","The woman talks with no difficulty and goes on to explain that her hair was never properly shampooed. We also talk of taking some kind of drugs. We then make an appointment at the meeting where the women play. Setting: I think it's somewhere outside of our field. As we're playing in the grass in front of a white concrete lot (which is small with hardly any trees), there's a square lot of trees lying around it.",Interpretation No interpretation. Answers to questions 2. None3. Participant4____ My friend Frank. Answers to question5.
"    'A woman whispers numbers into the fax machine. The paper feeds through endlessly. Her hand is bandaged.',",She tells me she and Mary had returned from a trip to the States. They have both received hospital beds and so return early. I am on a train with Mary. We go to Mrs. Carter's (who lives also at home) bedroom; very pleasant. See her downstairs; she has green-eyed long hair; wants my attention because it is evening. I ask if any man in M-- house can take Mary from our room for dinner.,"We then enter a house and look around through a window and see Frank coming in the front door with my small handbag, which we used before entering the room where I used to sleep. In bed with her is another woman; I hear him say to him: Frank you may come in. I say Frank is going out to my bed too but suddenly the door opens slowly (like when he left).","Interpretation None Answers to questions 2. Waking up, very upset3. No actual participant4. Pleasant5. Actual participant."
"    'A desk drawer opens by itself. Inside is a crumpled expense report. It’s dated seven years ago.',",Interpretation No interpretation was suggested; it seems we may have been playing video games. Answers to questions 2. Falsity3. Actual participant4____5. Pleasant8. Participant9. Silvery: very happy10. Very dirty11.,Answers to questions 2. There was no answer or answer3. Time was not important4__________ I tried all possible answers but none have form5. In the office at home it appears I am living in a new house6. Can I go to the restroom at my current house? Confusion. Ask about my bedroom window and make sure I open it only through the window. It is locked!,"Long time after I call a phone in the hallway (to) Frank, his voice seems very loud, not too hard but annoying; there are repeated questions, neither good nor unpleasant. Next morning I am supposed to meet his children, he is very vague. Finally they come in with an odd crowd for their home."
